idHotel	name	description	price	idAsUUID
0	Pokój 1 os.	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci),  ok. 48 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  telewizor,  telefon,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras,  za opłatą: minibar	5198	981e9e86-ea5a-49c7-a91b-e87f036b7d16
0	Pokój 2 os.	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci),  ok. 48 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  telewizor,  telefon,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras,  za opłatą: minibar	3799	0ce8307c-c7d1-4e91-940c-6b2412244c8d
0	Pokój 2 os. boczny widok na morze	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci),  ok. 48 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  telewizor,  telefon,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras,  widok boczny na morze,  za opłatą: minibar	4299	d7c31506-1767-4b86-aa12-83698a096668
0	Pokój 2 os. + 1 dostawka	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci),  ok. 48 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  telewizor,  telefon,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras,  za opłatą: minibar	3799	572caf43-1c32-42ad-8435-3374fb78839a
0	Pokój 2 os. + 1 dostawka, boczny widok na morze	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci),  ok. 48 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  telewizor,  telefon,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras,  widok boczny na morze,  za opłatą: minibar	4549	521d2219-4854-4c71-a09b-e9ef8c57428a
0	Pokój superior 2 os. + 1 dostawka	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci),  ok. 50 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  telewizor,  telefon,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras,  widok na morze,  za opłatą: minibar	4849	dc1b228c-ed42-41b6-a751-4b681f15576e
1	Pokój superior 1 os.	2-os. (możliwość 1 dostawki),  ok. 17-20 m²,  zadbany,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  telewizor,  lodówka,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras (stolik i krzesełka),  widok na ogród lub basen	3000	763ebd64-448a-4831-b419-1b8c9411c308
1	Pokój superior 2 os.	2-os. (możliwość 1 dostawki),  ok. 17-20 m²,  zadbany,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  telewizor,  lodówka,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras (stolik i krzesełka),  widok na ogród lub basen	1749	dbb78f34-b9c8-4ab9-8c16-e16bfd2dd091
1	Pokój rodzinny 2 os.	2-os. (możliwość 1 lub 2 dostawek),  ok. 30 m²,  w nowym budynku,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  telewizor,  lodówka,  telefon,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras (stolik i krzesełka),  widok na ogród lub basen,  część pokoi dwupomieszczeniowa	2115	bb383184-6600-4cfd-9f25-09b3cb64774f
1	Pokój superior 2 os. + 1 dostawka	2-os. (możliwość 1 dostawki),  ok. 17-20 m²,  zadbany,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  telewizor,  lodówka,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras (stolik i krzesełka),  widok na ogród lub basen	1749	99a0e509-3532-4749-a6e4-50698eac6c91
