idHotel	departureOption
0	Katowice
0	Poznań
0	Warszawa-Okęcie
0	Gdańsk
0	Wrocław
1	Wrocław
1	Warszawa-Okęcie
1	Katowice
1	Poznań
1	Gdańsk
2	Dojazd własny
2	Warszawa-Okęcie
2	Kraków
2	Gdańsk
2	Poznań
2	Wrocław
2	Olsztyn-Mazury
2	Rzeszów
2	Katowice
2	Warszawa-Radom
3	Warszawa-Okęcie
3	Katowice
3	Wrocław
3	Poznań
4	Warszawa-Okęcie
4	Katowice
5	Katowice
5	Poznań
5	Warszawa-Okęcie
5	Wrocław
5	Gdańsk
6	Warszawa-Okęcie
6	Kraków
6	Poznań
6	Gdańsk
6	Wrocław
6	Katowice
6	Dojazd własny
6	Rzeszów
6	Olsztyn-Mazury
6	Warszawa-Radom
7	Warszawa-Okęcie
8	Gdańsk
8	Katowice
8	Wrocław
8	Warszawa-Okęcie
8	Poznań
8	Rzeszów
8	Olsztyn-Mazury
8	Kraków
8	Warszawa-Radom
9	Warszawa-Okęcie
9	Katowice
10	Katowice
10	Warszawa-Okęcie
10	Poznań
11	Katowice
11	Poznań
11	Warszawa-Okęcie
11	Gdańsk
11	Wrocław
12	Wrocław
13	Katowice
13	Poznań
13	Warszawa-Okęcie
13	Gdańsk
13	Wrocław
14	Katowice
14	Warszawa-Okęcie
14	Wrocław
15	Katowice
15	Warszawa-Okęcie
15	Poznań
16	Katowice
16	Warszawa-Okęcie
16	Gdańsk
16	Warszawa-Radom
16	Wrocław
16	Olsztyn-Mazury
16	Kraków
16	Poznań
16	Rzeszów
17	Warszawa-Okęcie
17	Katowice
18	Katowice
19	Warszawa-Okęcie
20	Dojazd własny
20	Warszawa-Okęcie
20	Kraków
20	Gdańsk
20	Poznań
20	Wrocław
20	Katowice
20	Olsztyn-Mazury
20	Rzeszów
20	Warszawa-Radom
21	Warszawa-Okęcie
22	Warszawa-Okęcie
23	Katowice
23	Warszawa-Modlin
23	Wrocław
23	Kraków
23	Poznań
23	Gdańsk
23	Warszawa-Okęcie
23	Rzeszów
24	Katowice
24	Warszawa-Okęcie
24	Wrocław
24	Bydgoszcz
24	Poznań
24	Gdańsk
24	Warszawa-Radom
24	Kraków
24	Lublin
24	Rzeszów
24	Szczecin
24	Łódź
24	Olsztyn-Mazury
25	Warszawa-Okęcie
25	Wrocław
25	Katowice
25	Poznań
26	Warszawa-Okęcie
26	Katowice
26	Poznań
26	Wrocław
26	Gdańsk
26	Bydgoszcz
26	Lublin
26	Kraków
26	Rzeszów
26	Łódź
27	Warszawa-Okęcie
27	Katowice
27	Wrocław
27	Poznań
28	Poznań
28	Katowice
28	Warszawa-Okęcie
28	Gdańsk
28	Wrocław
29	Warszawa-Okęcie
30	Warszawa-Okęcie
30	Katowice
31	Dojazd własny
31	Gdańsk
31	Wrocław
32	Warszawa-Okęcie
32	Kraków
33	Katowice
33	Poznań
33	Warszawa-Okęcie
33	Wrocław
33	Gdańsk
33	Lublin
33	Bydgoszcz
33	Kraków
33	Rzeszów
33	Łódź
34	Warszawa-Okęcie
35	Warszawa-Okęcie
35	Katowice
35	Wrocław
36	Katowice
36	Warszawa-Okęcie
36	Wrocław
36	Bydgoszcz
36	Poznań
36	Gdańsk
36	Szczecin
36	Warszawa-Radom
36	Kraków
36	Lublin
36	Rzeszów
36	Łódź
36	Olsztyn-Mazury
37	Warszawa-Okęcie
38	Warszawa-Okęcie
38	Wrocław
38	Katowice
38	Poznań
39	Katowice
39	Warszawa-Okęcie
39	Gdańsk
39	Kraków
39	Rzeszów
39	Wrocław
39	Poznań
39	Łódź
40	Warszawa-Okęcie
40	Katowice
40	Wrocław
41	Katowice
42	Warszawa-Okęcie
42	Katowice
42	Wrocław
42	Poznań
43	Katowice
43	Warszawa-Okęcie
43	Poznań
43	Wrocław
44	Warszawa-Okęcie
44	Katowice
44	Wrocław
44	Kraków
44	Poznań
44	Łódź
44	Gdańsk
44	Bydgoszcz
44	Lublin
44	Rzeszów
45	Katowice
45	Warszawa-Okęcie
46	Dojazd własny
46	Warszawa-Okęcie
46	Kraków
46	Gdańsk
46	Poznań
46	Wrocław
46	Katowice
46	Rzeszów
46	Olsztyn-Mazury
46	Warszawa-Radom
47	Wrocław
47	Katowice
47	Poznań
47	Gdańsk
47	Kraków
48	Warszawa-Okęcie
48	Wrocław
48	Katowice
48	Poznań
49	Katowice
49	Warszawa-Okęcie
49	Gdańsk
49	Poznań
49	Bydgoszcz
49	Kraków
49	Lublin
49	Rzeszów
49	Wrocław
49	Łódź
